titulo,descricao,orgao
Remissão de Foros - Pessoa Física - Herdeiro,"1. O serviço de Remissão de Foros é destinado aos cidadãos que possuem Título de Enfiteuse. A Remissão de Foro regulariza o Título Provisório para que o cidadão passe a ter o Título Definitivo; 2. Após solicitar esse serviço, o cidadão obterá o Certificado de Remissão de Foros. Esse documento tem o mesmo valor legal do Título Definitivo, sendo necessário apenas que o cidadão averbe esse Certificado no Cartório; 3. No caso de falecimento do proprietário, a remissão de foros poderá ser solicitada pelos herdeiros legais.",
Remissão de Foros > Pessoa Física > Proprietário,"1. O serviço de Remissão de Foros é destinado aos cidadãos que possuem Título de Enfiteuse. A Remissão de Foro regulariza o Título Provisório para que o cidadão passe a ter o Título Definitivo; 2. Após solicitar esse serviço, o cidadão obterá o Certificado de Remissão de Foros. Esse documento tem o mesmo valor legal do Título Definitivo, sendo necessário apenas que o cidadão averbe esse Certificado no Cartório.",
Remissão de Foros >Pessoa Jurídica,"1. O serviço de Remissão de Foros é destinado à Pessoa Jurídica que possuem Título de Enfiteuse. A Remissão de Foros regulariza o Título Provisório para que a Pessoa Jurídica passe a ter o Título Definitivo; 2. Após solicitar esse serviço, a Pessoa Jurídica obterá o Certificado de Remissão de Foros. Esse documento tem o mesmo valor legal do Título Definitivo, sendo necessário apenas que a Pessoa Jurídica averbe esse Certificado no Cartório.",
Remissão e redução de alíquota de IPTU,"1. De acordo com a Lei Complementar nº 108, de 15 de abril de 2021, será concedida isenção de IPTU para as empresas instaladas ou que venham a se instalar nas áreas localizadas nos Distritos Industriais. 2. A isenção é referente ao exercício de 2021; 3. A isenção concedida por esta lei não abrange a taxa de coleta e remoção de resíduos sólidos e entulho; 4. Poderão ser exigidos pela Prefeitura outros documentos e informações complementares visando à total compreensão do pedido.",
Renovação do Alvará Sanitário > Pessoa Física,"1. Este serviço pode ser solicitando quando o interessado deseja renovar o Alvará Sanitário; 2. O Alvará Sanitário será válido pelo prazo de um ano, a contar da data de expedição, podendo ser renovado por períodos iguais e sucessivos; 3. A renovação deverá ser requerida até 120 dias antes do término da vigência do alvará; 4. Poderão ser exigidos outros documentos e informações complementares, visando a total compreensão do pedido.",
Reparcelamento de IPTU,"1. O reparcelamento pode ser solicitado quando o cidadão solicitou parcelamento de sua dívida, não efetuou o pagamento e deseja renegociá-la; 2. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 20% de entrada do valor total do débito e finalize o parcelamento; 3. No caso de falecimento do proprietário, o reparcelamento de débito poderá ser solicitado pelos herdeiros legais ou inventariante; 4. Serviço disponível para pessoa física e jurídica.",
Reparcelamento de ISS,"1. Esse serviço pode ser solicitado quando o cidadão deseja realizar o reparcelamento de débitos referentes ao ISS – Imposto Sobre Serviço; 2. Interessado só pode solicitar reparcelamento de ISS referente a exercícios anteriores; 3. O CAC montará processo e encaminhará ao setor de Divisão de Dívida Ativa, que entrará em contato com o solicitante para que este efetue o pagamento de 20% de entrada do valor total do débito e finalize o parcelamento; 4. Serviço disponível para pessoa física e jurídica.",
Restituição de pagamento feito indevidamente,"1. O cidadão pode solicitar a devolução do valor pago indevidamente, junto à Prefeitura que irá analisar o pedido. Se aprovado, o valor será depositado na conta corrente do solicitante; 2. Serviço disponível para pessoa física e jurídica.",
Retirada de Entulho,"1. Esse serviço deve ser solicitado presencialmente na Semsur – Secretaria Municipal de Serviços Urbanos – ou pelo telefone 3225-5513. A Semsur fará a medição da área. De posse desses dados, o cidadão deverá se dirigir a qualquer um dos CACs da Prefeitura para a retirada da taxa de coleta e remoção de resíduos sólidos. A taxa será cobrada por metros cúbicos e será diferenciada de acordo com a utilização ou não de pá mecânica; 2. Esse serviço está disponível para pessoa física e jurídica",
Revisão do Imóvel,"1. A revisão do imóvel é solicitada quando o cidadão deseja que seja feita uma vistoria no local para corrigir possíveis irregularidades. Nessa situação, poderá ocorrer ou não aumento ou diminuição no valor do IPTU; 2. Finalizada a revisão, será realizada uma atualização Cadastral do imóvel; 3. Pode ser solicitada também em caso judicial para resolver questões litigiosas; 4. A Prefeitura fará uma vistoria no local e, após a revisão, o cidadão pode solicitar o BCI – Boletim de Cadastramento Imobiliário; 5. Serviço disponível para pessoa física e jurídica.",
Revisão do Imóvel / Desmembramento para fins de IPTU,Este serviço deverá ser solicitado quando o interessado deseja desmembrar o seu IPTU em mais de uma unidade;,
Servidor Público do Município de Rio Branco > Impressão de Contracheque,Obtenha seu contracheque de forma rápida e prática.,
Servidor Público Estadual > Aposentados e Pensionistas > Cédula C,Emissão de Cédula C (Comprovante de Rendimentos Pagos e Imposto sobre a Renda Retido na Fonte) de aposentados e pensionistas.,
Servidor Público Estadual > Aposentados e Pensionistas > Contracheque,Serviço de emissão de contracheque disponibilizado aos aposentados e pensionistas do estado do acre.,
Servidor Público Estadual > Ativo > Contracheque,"Serviço de consulta ao contracheque disponibilizado aos servidores públicos do quadro de pessoal ativo, efetivo e comissionados.",
Servidor Público Estadual > Atualização cadastral,"Anualmente, sempre no seu mês de aniversário, você deve realizar atualização cadastral, uma forma que o Estado encontrou para realizar prova de vida de seus servidores. Passo a passo 1.Preencha o formulário pela internet. Ao final, será gerado um comprovante. 2.Imprima e solicite que seu chefe imediato assine o documento; 3.Compareça ao setor de gestão de recursos humanos ao qual você está vinculado, e apresente o comprovante assinado, juntamente com a documentação que comprove as alterações realizadas.",
Servidor Público Estadual > Simulador de aposentadoria,1. Esse serviço é oferecido ao Servidor que deseja saber quanto tempo falta para se aposentar (por idade ou tempo de contribuição). 2.A simulação é feita com as informações que estão na base de dados do ACREPREV. Também é possível incluir vínculos e alterar data de nascimento no momento da simulação. 3.O resultado gerado pela calculadora vale somente para consulta e não garante direito à aposentadoria.,
Tarifa Social > Beneficiários do Cadastro Único,"1. Tarifa Social de água e esgoto é destinada aos usuários de baixa renda, aposentados, idosos e portadores de necessidades especiais; 2. Para usuário que utiliza a tarifa social terá uma redução de 50% (cinquenta por cento) na cobrança de tarifa de esgoto, e uma redução de 40% (quarenta por cento) no valor da tarifa de água; 3. O consumo de água que exceder ao limite máximo de 20 metros cúbicos será cobrado 80% (oitenta por cento) da tarifa normal.",
Tarifa Social > Idosos,"1. Tarifa Social de água e esgoto é destinada aos usuários de baixa renda, aposentados, idosos e portadores de necessidades especiais; 2. Para usuário que utiliza a tarifa social terá uma redução de 50% (cinquenta por cento) na cobrança de tarifa de esgoto, e uma redução de 40% (quarenta por cento) no valor da tarifa de água; 3. O consumo de água que exceder ao limite máximo de 20 metros cúbicos, será cobrado 80% (oitenta por cento) da tarifa normal.",
Tarifa Social > Pessoas com Deficiência,"1. Tarifa Social de água e esgoto é destinada aos usuários de baixa renda, aposentados, idosos e portadores de necessidades especiais; 2. Para usuário que utiliza a tarifa social terá uma redução de 50% (cinquenta por cento) na cobrança de tarifa de esgoto, e uma redução de 40% (quarenta por cento) no valor da tarifa de água; 3. O consumo de água que exceder ao limite máximo de 20 metros cúbicos, será cobrado 80% (oitenta por cento) da tarifa normal.",
Taxa de alvará > Emissão,"1. A taxa do alvará deverá ser paga anualmente para que o estabelecimento possa continuar funcionando; 2. O interessado poderá solicitar a emissão da taxa do Alvará; 3. Esse serviço pode ser solicitado pela internet, desde que o interessado tenha senha habilitada para solicitar serviços online. Caso não tenha senha cadastrada, deve se dirigir ao atendimento presencial em qualquer CAC.",
Termo de Habite-se,"1. O Termo de Habite-se atesta a condição de habitabilidade (moradia) da obra no Município, todas as construções com licenciamento pela prefeitura deverão ter Termo de Habite-se (prédios, estação rádio base, imóveis residenciais e comerciais etc.); 2. A prefeitura fará vistoria no local; 3. Serviço disponível para pessoa Física e Jurídica; Observação: a 2ª via desse documento deve ser solicitada diretamente na Seinfra – Secretaria de Infraestrutura e Mobilidade Urbana, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Título Definitivo / Pessoa Física > 1ª via,"1. O Título Definitivo transfere a propriedade de um lote pertencente ao município para o cidadão. Com esse documento, o cidadão registra em seu nome a propriedade junto ao Cartório de Registro de Imóveis, regularizando-o; 2. Com esse documento o cidadão se torna proprietário do imóvel, tendo diversos benefícios tais como: a) Segurança jurídica; b) Valorização do Imóvel; c) Acesso a linhas de créditos para reformas e ampliação; d) Garante a herança para os filhos etc. 3. A prefeitura fará vistorias no local; 4. Para consultar se a área em questão pode ser titulada, o interessado poderá fazer pesquisa no Departamento de Regularização Fundiária, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Título Definitivo / Pessoa Física > 2ª via,1. Esse serviço pode ser solicitando-nos de casos de: a) perda; b) roubo; c) furto; ou d) extravio. 2. A prefeitura fará vistorias no local.,
Título Definitivo / Pessoa Física > Retificação,"1. A retificação do Título Definitivo pode ser solicitada quando houver algum dado errado no documento (área, nome, inscrição etc.); 2. A prefeitura retificará o Título se ele estiver sido emitido com erro, cabendo ao interessado informar ao atendente qual a informação que foi errada ou que discorda no Título; 3. Dependendo do tipo de retificação, a prefeitura poderá fazer vistorias no local.",
Título Definitivo / Pessoa Jurídica > 1ª via,"1. O Título Definitivo transfere a propriedade de um lote pertencente ao município para a pessoa jurídica. Com esse documento, a pessoa jurídica registra em seu nome a propriedade junto ao Cartório de Registro de Imóveis, regularizando seu imóvel; 2. Com esse documento a pessoa jurídica se torna proprietário do imóvel, tendo diversos benefícios tais como: a) Segurança jurídica; b) Valorização do Imóvel; c) Acesso a linhas de créditos para reformas e ampliação; 3. A prefeitura fará vistorias no local; 4. Para consultar se a área em questão pode ser titulada, o interessado poderá fazer pesquisa no Departamento de Regularização Fundiária, localizada na Rua Rui Barbosa, 325 Centro (antigo Mira Shopping).",
Título Definitivo / Pessoa Jurídica > 2ª via,1. Esse serviço pode ser solicitado nos de casos de: a) perda; b) roubo; c) furto; ou d) extravio.,
Título Definitivo / Pessoa Jurídica > 2ª via,1. Esse serviço pode ser solicitado nos de casos de: a) perda; b) roubo; c) furto; ou d) extravio.,
Título Definitivo / Pessoa Jurídica > Retificação,"1. A retificação do Título Definitivo pode ser solicitada quando houver algum dado errado no documento (área, nome, inscrição etc.); 2. A prefeitura retificará o Título se ele estiver sido emitido com erro, cabendo ao interessado informar ao atendente qual a informação que foi errada ou que discorda no Título; 3. Dependendo do tipo de retificação, a prefeitura poderá fazer vistorias no local.",
Transferência On-line de Alunos na Rede Estadual de Ensino,"1. Esse serviço pode ser solicitado por àqueles que desejam se transferir de uma escola pública da rede estadual de ensino para outra da mesma rede. 2. O serviço destina-se a garantir o acesso à educação pública de qualidade, bem como promover a inclusão e o desenvolvimento educacional. Observação: esse serviço está disponível para as transferências que ocorrem após o final do ano letivo (no mesmo período das matrículas e rematrículas), para os alunos que tem interesse em iniciar o ano letivo em uma nova escola da rede. As transferências que são solicitadas dentro do ano letivo, devem ter seu pedido feito presencialmente na sua escola de origem.",
